,dtype,pct_missing,n_unique
image_id,object,0.0,16266
patient_id,int64,0.0,8524
camera,object,0.0,2
patient_age,float64,33.48,92
comorbidities,object,50.64,213
diabetes_time_y,object,88.26,55
insuline,object,89.46,2
patient_sex,int64,0.0,2
exam_eye,int64,0.0,2
diabetes,object,0.0,2
nationality,object,0.0,1
optic_disc,object,0.0,3
vessels,int64,0.0,2
macula,int64,0.0,2
DR_SDRG,int64,0.0,5
DR_ICDR,int64,0.0,5
focus,int64,0.0,3
Illuminaton,int64,0.0,2
image_field,int64,0.0,2
artifacts,int64,0.0,2
diabetic_retinopathy,int64,0.0,2
macular_edema,int64,0.0,2
scar,int64,0.0,2
nevus,int64,0.0,2
amd,int64,0.0,2
vascular_occlusion,int64,0.0,2
hypertensive_retinopathy,int64,0.0,2
drusens,int64,0.0,2
hemorrhage,int64,0.0,2
retinal_detachment,int64,0.0,2
myopic_fundus,int64,0.0,2
increased_cup_disc,int64,0.0,2
other,int64,0.0,2
quality,object,0.0,2
